;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_RPL_desc;We've had a good run, but it's time to end our rulership of Rupert's Land: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUM_title;Grant Rum Independence;;;;;;;;;;;;x,,
gtfo_RUM_desc;We've had a good run, but it's time to end our rulership of Rum: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUS_title;Grant Russia Independence;;;;;;;;;;;;x,,
gtfo_RUS_desc;We've had a good run, but it's time to end our rulership of Russia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUT_title;Grant Ruthenia Independence;;;;;;;;;;;;x,,
gtfo_RUT_desc;We've had a good run, but it's time to end our rulership of Ruthenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RVA_title;Grant Ravensburg Independence;;;;;;;;;;;;x,,
gtfo_RVA_desc;We've had a good run, but it's time to end our rulership of Ravensburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RWA_title;Grant Rwanda Independence;;;;;;;;;;;;x,,
gtfo_RWA_desc;We've had a good run, but it's time to end our rulership of Rwanda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RYA_title;Grant Ryazan Independence;;;;;;;;;;;;x,,
gtfo_RYA_desc;We've had a good run, but it's time to end our rulership of Ryazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RYU_title;Grant Ryukyu Independence;;;;;;;;;;;;x,,
gtfo_RYU_desc;We've had a good run, but it's time to end our rulership of Ryukyu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RZW_title;Grant Butua Independence;;;;;;;;;;;;x,,
gtfo_RZW_desc;We've had a good run, but it's time to end our rulership of Butua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAA_title;Grant Saar Independence;;;;;;;;;;;;x,,
gtfo_SAA_desc;We've had a good run, but it's time to end our rulership of Saar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAB_title;Grant Sabellia Independence;;;;;;;;;;;;x,,
gtfo_SAB_desc;We've had a good run, but it's time to end our rulership of Sabellia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAF_title;Grant South Africa Independence;;;;;;;;;;;;x,,
gtfo_SAF_desc;We've had a good run, but it's time to end our rulership of South Africa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAK_title;Grant Siak Independence;;;;;;;;;;;;x,,
gtfo_SAK_desc;We've had a good run, but it's time to end our rulership of Siak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAL_title;Grant Salish Independence;;;;;;;;;;;;x,,
gtfo_SAL_desc;We've had a good run, but it's time to end our rulership of Salish: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAM_title;Grant Samos Independence;;;;;;;;;;;;x,,
gtfo_SAM_desc;We've had a good run, but it's time to end our rulership of Samos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAO_title;Grant Sao Tome Independence;;;;;;;;;;;;x,,
gtfo_SAO_desc;We've had a good run, but it's time to end our rulership of Sao Tome: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAR_title;Grant Sardinia-Piedmont Independence;;;;;;;;;;;;x,,
gtfo_SAR_desc;We've had a good run, but it's time to end our rulership of Sardinia-Piedmont: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAT_title;Grant Satsuma Independence;;;;;;;;;;;;x,,
gtfo_SAT_desc;We've had a good run, but it's time to end our rulership of Satsuma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAX_title;Grant Saxony Independence;;;;;;;;;;;;x,,
gtfo_SAX_desc;We've had a good run, but it's time to end our rulership of Saxony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SBA_title;Grant Buenos Aires Independence;;;;;;;;;;;;x,,
gtfo_SBA_desc;We've had a good run, but it's time to end our rulership of Buenos Aires: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCA_title;Grant Scandinavia Independence;;;;;;;;;;;;x,,
gtfo_SCA_desc;We've had a good run, but it's time to end our rulership of Scandinavia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCH_title;Grant Schleswig Independence;;;;;;;;;;;;x,,
gtfo_SCH_desc;We've had a good run, but it's time to end our rulership of Schleswig: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCO_title;Grant Scotland Independence;;;;;;;;;;;;x,,
gtfo_SCO_desc;We've had a good run, but it's time to end our rulership of Scotland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SDT_title;Grant Sudetenland Independence;;;;;;;;;;;;x,,
gtfo_SDT_desc;We've had a good run, but it's time to end our rulership of Sudetenland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SEG_title;Grant Segu Independence;;;;;;;;;;;;x,,
gtfo_SEG_desc;We've had a good run, but it's time to end our rulership of Segu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SEN_title;Grant Sendai Independence;;;;;;;;;;;;x,,
gtfo_SEN_desc;We've had a good run, but it's time to end our rulership of Sendai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SER_title;Grant Serbia Independence;;;;;;;;;;;;x,,
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SEY_title;Grant Seychelles Independence;;;;;;;;;;;;x,,
gtfo_SEY_desc;We've had a good run, but it's time to end our rulership of Seychelles: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGF_title;Grant South German Fed Independence;;;;;;;;;;;;x,,
gtfo_SGF_desc;We've had a good run, but it's time to end our rulership of South German Fed: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGH_title;Grant Songhai Independence;;;;;;;;;;;;x,,
gtfo_SGH_desc;We've had a good run, but it's time to end our rulership of Songhai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGM_title;Grant Sigmaringen-Hohe Independence;;;;;;;;;;;;x,,
gtfo_SGM_desc;We've had a good run, but it's time to end our rulership of Sigmaringen-Hohe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGP_title;Grant Singapore Independence;;;;;;;;;;;;x,,
gtfo_SGP_desc;We've had a good run, but it's time to end our rulership of Singapore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGU_title;Grant Segu Independence;;;;;;;;;;;;x,,
gtfo_SGU_desc;We've had a good run, but it's time to end our rulership of Segu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHA_title;Grant Shan Independence;;;;;;;;;;;;x,,
gtfo_SHA_desc;We've had a good run, but it's time to end our rulership of Shan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHD_title;Grant Shandong Independence;;;;;;;;;;;;x,,
gtfo_SHD_desc;We've had a good run, but it's time to end our rulership of Shandong: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHG_title;Grant Shanghai Independence;;;;;;;;;;;;x,,
gtfo_SHG_desc;We've had a good run, but it's time to end our rulership of Shanghai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHI_title;Grant Shimla Independence;;;;;;;;;;;;x,,
gtfo_SHI_desc;We've had a good run, but it's time to end our rulership of Shimla: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHK_title;Grant Shilluk Independence;;;;;;;;;;;;x,,
gtfo_SHK_desc;We've had a good run, but it's time to end our rulership of Shilluk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHO_title;Grant Shona Independence;;;;;;;;;;;;x,,
gtfo_SHO_desc;We've had a good run, but it's time to end our rulership of Shona: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHS_title;Grant Shoshone Independence;;;;;;;;;;;;x,,
gtfo_SHS_desc;We've had a good run, but it's time to end our rulership of Shoshone: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHU_title;Grant Shu Independence;;;;;;;;;;;;x,,
gtfo_SHU_desc;We've had a good run, but it's time to end our rulership of Shu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHW_title;Grant Shewa Independence;;;;;;;;;;;;x,,
gtfo_SHW_desc;We've had a good run, but it's time to end our rulership of Shewa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHX_title;Grant Shawnee Independence;;;;;;;;;;;;x,,
gtfo_SHX_desc;We've had a good run, but it's time to end our rulership of Shawnee: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHY_title;Grant Uzbek Independence;;;;;;;;;;;;x,,
gtfo_SHY_desc;We've had a good run, but it's time to end our rulership of Uzbek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIA_title;Grant Ayutthaya Independence;;;;;;;;;;;;x,,
gtfo_SIA_desc;We've had a good run, but it's time to end our rulership of Ayutthaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIB_title;Grant Sibir Independence;;;;;;;;;;;;x,,
gtfo_SIB_desc;We've had a good run, but it's time to end our rulership of Sibir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIC_title;Grant Two Sicilies Independence;;;;;;;;;;;;x,,
gtfo_SIC_desc;We've had a good run, but it's time to end our rulership of Two Sicilies: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SID_title;Grant Sidama Independence;;;;;;;;;;;;x,,
gtfo_SID_desc;We've had a good run, but it's time to end our rulership of Sidama: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIE_title;Grant Transylvania Independence;;;;;;;;;;;;x,,
gtfo_SIE_desc;We've had a good run, but it's time to end our rulership of Transylvania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIH_title;Grant Sibir Independence;;;;;;;;;;;;x,,
gtfo_SIH_desc;We've had a good run, but it's time to end our rulership of Sibir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIK_title;Grant Sikkim Independence;;;;;;;;;;;;x,,
gtfo_SIK_desc;We've had a good run, but it's time to end our rulership of Sikkim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIN_title;Grant Sindh Independence;;;;;;;;;;;;x,,
gtfo_SIN_desc;We've had a good run, but it's time to end our rulership of Sindh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIO_title;Grant Sioux Independence;;;;;;;;;;;;x,,
gtfo_SIO_desc;We've had a good run, but it's time to end our rulership of Sioux: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SKA_title;Grant Sakalava Independence;;;;;;;;;;;;x,,
gtfo_SKA_desc;We've had a good run, but it's time to end our rulership of Sakalava: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SKL_title;Grant Siculia Independence;;;;;;;;;;;;x,,
gtfo_SKL_desc;We've had a good run, but it's time to end our rulership of Siculia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SKN_title;Grant St Kitts Independence;;;;;;;;;;;;x,,
gtfo_SKN_desc;We've had a good run, but it's time to end our rulership of St Kitts: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLA_title;Grant Slavic Union Independence;;;;;;;;;;;;x,,
gtfo_SLA_desc;We've had a good run, but it's time to end our rulership of Slavic Union: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLE_title;Grant Sierra Leone Independence;;;;;;;;;;;;x,,
gtfo_SLE_desc;We've had a good run, but it's time to end our rulership of Sierra Leone: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLG_title;Grant Selangor Independence;;;;;;;;;;;;x,,
gtfo_SLG_desc;We've had a good run, but it's time to end our rulership of Selangor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLN_title;Grant Sligo Independence;;;;;;;;;;;;x,,
gtfo_SLN_desc;We've had a good run, but it's time to end our rulership of Sligo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLO_title;Grant Slovenia Independence;;;;;;;;;;;;x,,
gtfo_SLO_desc;We've had a good run, but it's time to end our rulership of Slovenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLS_title;Grant Silesia Independence;;;;;;;;;;;;x,,
gtfo_SLS_desc;We've had a good run, but it's time to end our rulership of Silesia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLV_title;Grant Nitra Independence;;;;;;;;;;;;x,,
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Nitra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLW_title;Grant Sulawesi Independence;;;;;;;;;;;;x,,
gtfo_SLW_desc;We've had a good run, but it's time to end our rulership of Sulawesi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLZ_title;Grant Salzburg Independence;;;;;;;;;;;;x,,
gtfo_SLZ_desc;We've had a good run, but it's time to end our rulership of Salzburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMB_title;Grant Sambas Independence;;;;;;;;;;;;x,,
gtfo_SMB_desc;We've had a good run, but it's time to end our rulership of Sambas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMI_title;Grant Sami Independence;;;;;;;;;;;;x,,
gtfo_SMI_desc;We've had a good run, but it's time to end our rulership of Sami: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMK_title;Grant Smolensk Independence;;;;;;;;;;;;x,,
gtfo_SMK_desc;We've had a good run, but it's time to end our rulership of Smolensk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMO_title;Grant Samoa Independence;;;;;;;;;;;;x,,
gtfo_SMO_desc;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMR_title;Grant San Marino Independence;;;;;;;;;;;;x,,
gtfo_SMR_desc;We've had a good run, but it's time to end our rulership of San Marino: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMT_title;Grant Sarmatia Independence;;;;;;;;;;;;x,,
gtfo_SMT_desc;We've had a good run, but it's time to end our rulership of Sarmatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNA_title;Grant Siena Independence;;;;;;;;;;;;x,,
gtfo_SNA_desc;We've had a good run, but it's time to end our rulership of Siena: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNG_title;Grant Senegal Independence;;;;;;;;;;;;x,,
gtfo_SNG_desc;We've had a good run, but it's time to end our rulership of Senegal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNZ_title;Grant Waitaha Independence;;;;;;;;;;;;x,,
gtfo_SNZ_desc;We've had a good run, but it's time to end our rulership of Waitaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOF_title;Grant Sofala Independence;;;;;;;;;;;;x,,
gtfo_SOF_desc;We've had a good run, but it's time to end our rulership of Sofala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOK_title;Grant Sokoto Independence;;;;;;;;;;;;x,,
gtfo_SOK_desc;We've had a good run, but it's time to end our rulership of Sokoto: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOL_title;Grant Solon Independence;;;;;;;;;;;;x,,
gtfo_SOL_desc;We've had a good run, but it's time to end our rulership of Solon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOM_title;Grant Somalia Independence;;;;;;;;;;;;x,,
gtfo_SOM_desc;We've had a good run, but it's time to end our rulership of Somalia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SON_title;Grant Sonora Independence;;;;;;;;;;;;x,,
gtfo_SON_desc;We've had a good run, but it's time to end our rulership of Sonora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPA_title;Grant Spain Independence;;;;;;;;;;;;x,,
gtfo_SPA_desc;We've had a good run, but it's time to end our rulership of Spain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPC_title;Grant Carlist Spain Independence;;;;;;;;;;;;x,,
gtfo_SPC_desc;We've had a good run, but it's time to end our rulership of Carlist Spain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPQ_title;Grant RomanEmpire Independence;;;;;;;;;;;;x,,
gtfo_SPQ_desc;We've had a good run, but it's time to end our rulership of RomanEmpire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPU_title;Grant South Peru Independence;;;;;;;;;;;;x,,
gtfo_SPU_desc;We've had a good run, but it's time to end our rulership of South Peru: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRB_title;Grant Sorbia Independence;;;;;;;;;;;;x,,
gtfo_SRB_desc;We've had a good run, but it's time to end our rulership of Sorbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRD_title;Grant Sardinia Independence;;;;;;;;;;;;x,,
gtfo_SRD_desc;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRI_title;Grant Kotte Independence;;;;;;;;;;;;x,,
gtfo_SRI_desc;We've had a good run, but it's time to end our rulership of Kotte: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRN_title;Grant Soran Independence;;;;;;;;;;;;x,,
gtfo_SRN_desc;We've had a good run, but it's time to end our rulership of Soran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRU_title;Grant Saruhan Independence;;;;;;;;;;;;x,,
gtfo_SRU_desc;We've had a good run, but it's time to end our rulership of Saruhan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SSU_title;Grant South Sudan Independence;;;;;;;;;;;;x,,
gtfo_SSU_desc;We've had a good run, but it's time to end our rulership of South Sudan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_STL_title;Grant St Lucia Independence;;;;;;;;;;;;x,,
gtfo_STL_desc;We've had a good run, but it's time to end our rulership of St Lucia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_STV_title;Grant St Vincent Independence;;;;;;;;;;;;x,,
gtfo_STV_desc;We've had a good run, but it's time to end our rulership of St Vincent: if you love something, let it go!;;;;;;;;;;;;x
gtfo_STY_title;Grant Styria Independence;;;;;;;;;;;;x,,
gtfo_STY_desc;We've had a good run, but it's time to end our rulership of Styria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUA_title;Grant Suazi Independence;;;;;;;;;;;;x,,
gtfo_SUA_desc;We've had a good run, but it's time to end our rulership of Suazi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUD_title;Grant Sudan Independence;;;;;;;;;;;;x,,
gtfo_SUD_desc;We've had a good run, but it's time to end our rulership of Sudan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUE_title;Grant The Suebi Independence;;;;;;;;;;;;x,,
gtfo_SUE_desc;We've had a good run, but it's time to end our rulership of The Suebi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUK_title;Grant Sukhothai Independence;;;;;;;;;;;;x,,
gtfo_SUK_desc;We've had a good run, but it's time to end our rulership of Sukhothai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUL_title;Grant Sulu Independence;;;;;;;;;;;;x,,
gtfo_SUL_desc;We've had a good run, but it's time to end our rulership of Sulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUN_title;Grant Sunda Independence;;;;;;;;;;;;x,,
gtfo_SUN_desc;We've had a good run, but it's time to end our rulership of Sunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUR_title;Grant Suriname Independence;;;;;;;;;;;;x,,
gtfo_SUR_desc;We've had a good run, but it's time to end our rulership of Suriname: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUS_title;Grant Susquehannock Independence;;;;;;;;;;;;x,,
gtfo_SUS_desc;We've had a good run, but it's time to end our rulership of Susquehannock: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWA_title;Grant Kilwa Independence;;;;;;;;;;;;x,,
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Kilwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWE_title;Grant Sweden Independence;;;;;;;;;;;;x,,
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWH_title;Grant Schleswig-Holstein Independence;;;;;;;;;;;;x,,
gtfo_SWH_desc;We've had a good run, but it's time to end our rulership of Schleswig-Holstein: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWI_title;Grant Switzerland Independence;;;;;;;;;;;;x,,
gtfo_SWI_desc;We've had a good run, but it's time to end our rulership of Switzerland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWK_title;Grant Sarawak Independence;;;;;;;;;;;;x,,
gtfo_SWK_desc;We've had a good run, but it's time to end our rulership of Sarawak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SXI_title;Grant Shanxi Independence;;;;;;;;;;;;x,,
gtfo_SXI_desc;We've had a good run, but it's time to end our rulership of Shanxi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SYC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYO_title;Grant Soyo Independence;;;;;;;;;;;;x,,
gtfo_SYO_desc;We've had a good run, but it's time to end our rulership of Soyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;x,,
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SZC_title;Grant Sichuan Independence;;;;;;;;;;;;x,,
gtfo_SZC_desc;We've had a good run, but it's time to end our rulership of Sichuan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAB_title;Grant Mazandaran Independence;;;;;;;;;;;;x,,
gtfo_TAB_desc;We've had a good run, but it's time to end our rulership of Mazandaran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAC_title;Grant Tachibana Independence;;;;;;;;;;;;x,,
gtfo_TAC_desc;We've had a good run, but it's time to end our rulership of Tachibana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAH_title;Grant Tahiti Independence;;;;;;;;;;;;x,,
gtfo_TAH_desc;We've had a good run, but it's time to end our rulership of Tahiti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAI_title;Grant Taiwan Independence;;;;;;;;;;;;x,,
gtfo_TAI_desc;We've had a good run, but it's time to end our rulership of Taiwan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAJ_title;Grant Tajikstan Independence;;;;;;;;;;;;x,,
gtfo_TAJ_desc;We've had a good run, but it's time to end our rulership of Tajikstan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAM_title;Grant Transamur Independence;;;;;;;;;;;;x,,
gtfo_TAM_desc;We've had a good run, but it's time to end our rulership of Transamur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAR_title;Grant Tatarstan Independence;;;;;;;;;;;;x,,
gtfo_TAR_desc;We've had a good run, but it's time to end our rulership of Tatarstan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TBK_title;Grant Tumbuka Independence;;;;;;;;;;;;x,,
gtfo_TBK_desc;We've had a good run, but it's time to end our rulership of Tumbuka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TBZ_title;Grant Trebizond Independence;;;;;;;;;;;;x,,
gtfo_TBZ_desc;We've had a good run, but it's time to end our rulership of Trebizond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TCA_title;Grant Transcaucasia Independence;;;;;;;;;;;;x,,
gtfo_TCA_desc;We've had a good run, but it's time to end our rulership of Transcaucasia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TDO_title;Grant Tondo Independence;;;;;;;;;;;;x,,
gtfo_TDO_desc;We've had a good run, but it's time to end our rulership of Tondo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TER_title;Grant Trier Independence;;;;;;;;;;;;x,,
gtfo_TER_desc;We've had a good run, but it's time to end our rulership of Trier: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEU_title;Grant Teutonic Order Independence;;;;;;;;;;;;x,,
gtfo_TEU_desc;We've had a good run, but it's time to end our rulership of Teutonic Order: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEX_title;Grant Texas Independence;;;;;;;;;;;;x,,
gtfo_TEX_desc;We've had a good run, but it's time to end our rulership of Texas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGA_title;Grant Tonga Independence;;;;;;;;;;;;x,,
gtfo_TGA_desc;We've had a good run, but it's time to end our rulership of Tonga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGT_title;Grant Touggourt Independence;;;;;;;;;;;;x,,
gtfo_TGT_desc;We've had a good run, but it's time to end our rulership of Touggourt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_THU_title;Grant Thuringia Independence;;;;;;;;;;;;x,,
gtfo_THU_desc;We've had a good run, but it's time to end our rulership of Thuringia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIB_title;Grant Tibet Independence;;;;;;;;;;;;x,,
gtfo_TIB_desc;We've had a good run, but it's time to end our rulership of Tibet: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TID_title;Grant Tidore Independence;;;;;;;;;;;;x,,
gtfo_TID_desc;We've had a good run, but it's time to end our rulership of Tidore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIG_title;Grant Tigray Independence;;;;;;;;;;;;x,,
gtfo_TIG_desc;We've had a good run, but it's time to end our rulership of Tigray: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIM_title;Grant Timurid Independence;;;;;;;;;;;;x,,
gtfo_TIM_desc;We've had a good run, but it's time to end our rulership of Timurid: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIO_title;Grant Tionontate Independence;;;;;;;;;;;;x,,
gtfo_TIO_desc;We've had a good run, but it's time to end our rulership of Tionontate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIR_title;Grant Tirol Independence;;;;;;;;;;;;x,,
gtfo_TIR_desc;We've had a good run, but it's time to end our rulership of Tirol: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIW_title;Grant Tiwi Independence;;;;;;;;;;;;x,,
gtfo_TIW_desc;We've had a good run, but it's time to end our rulership of Tiwi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TKG_title;Grant Shogunate Japan Independence;;;;;;;;;;;;x,,
gtfo_TKG_desc;We've had a good run, but it's time to end our rulership of Shogunate Japan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TKM_title;Grant Turkmenistan Independence;;;;;;;;;;;;x,,
gtfo_TKM_desc;We've had a good run, but it's time to end our rulership of Turkmenistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TKS_title;Grant Turkestan Independence;;;;;;;;;;;;x,,
gtfo_TKS_desc;We've had a good run, but it's time to end our rulership of Turkestan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLA_title;Grant Tlapanec Independence;;;;;;;;;;;;x,,
gtfo_TLA_desc;We've had a good run, but it's time to end our rulership of Tlapanec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLC_title;Grant Tlemcen Independence;;;;;;;;;;;;x,,
gtfo_TLC_desc;We've had a good run, but it's time to end our rulership of Tlemcen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLX_title;Grant Tlaxcala Independence;;;;;;;;;;;;x,,
gtfo_TLX_desc;We've had a good run, but it's time to end our rulership of Tlaxcala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TMR_title;Grant Timor Independence;;;;;;;;;;;;x,,
gtfo_TMR_desc;We've had a good run, but it's time to end our rulership of Timor: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TNT_title;Grant Tannu Tuva Independence;;;;;;;;;;;;x,,
gtfo_TNT_desc;We've had a good run, but it's time to end our rulership of Tannu Tuva: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TNZ_title;Grant Tanzania Independence;;;;;;;;;;;;x,,
gtfo_TNZ_desc;We've had a good run, but it's time to end our rulership of Tanzania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TOC_title;Grant Tocharia Independence;;;;;;;;;;;;x,,
gtfo_TOC_desc;We've had a good run, but it's time to end our rulership of Tocharia: if you love something, let it go!;;;;;;;;;;;;x
